x_mm,P_mW
0.00,1.996
0.05,1.996
0.10,1.997
0.15,1.997
0.25,1.998
0.35,1.998
0.45,1.999
0.55,1.999
0.75,1.999
1.01,1.999
1.25,1.997
1.40,1.995
1.45,1.995
1.55,1.994
1.65,1.991
1.75,1.988
1.80,1.985
1.85,1.982
1.90,1.979
1.95,1.976
2.00,1.974
2.05,1.969
2.10,1.966
2.15,1.960
2.20,1.955
2.25,1.947
2.30,1.940
2.31,1.804
2.32,1.802
2.33,1.799
2.34,1.798
2.35,1.797
2.40,1.789
2.45,1.780
2.50,1.767
2.55,1.757
2.60,1.733
2.65,1.718
2.70,1.697
2.75,1.678
2.80,1.667
2.85,1.635
2.90,1.612
2.95,1.587
3.00,1.559
3.05,1.531
3.10,1.504
3.15,1.473
3.20,1.438
3.25,1.408
3.30,1.365
3.35,1.326
3.40,1.287
3.45,1.243
3.50,1.197
3.55,1.150
3.60,1.115
3.65,1.072
3.70,1.030
3.75,0.974
3.80,0.921
3.85,0.864
3.90,0.816
3.95,0.771
4.00,0.737
4.05,0.690
4.10,0.622
4.15,0.599
4.20,0.566
4.25,0.535
4.30,0.494
4.35,0.459
4.40,0.420
4.45,0.382
4.50,0.352
4.55,0.329
4.60,0.302
4.70,0.253
4.80,0.212
4.90,0.171
5.00,0.137
