# AM lock-in sweep, 2026-07-16T12:44:08, f_mod_Hz=5000.0, power_dBm=10.0, t_int_ms~8
freq_MHz,lockin_R
2850.0000,0.00007571
2850.2500,0.00009097
2850.5000,0.00008898
2850.7500,0.00008919
2851.0000,0.00008277
2851.2500,0.00007925
2851.5000,0.00006380
2851.7500,0.00008386
2852.0000,0.00009110
2852.2500,0.00003192
2852.5000,0.00008819
2852.7500,0.00008134
2853.0000,0.00007061
2853.2500,0.00007396
2853.5000,0.00004206
2853.7500,0.00008616
2854.0000,0.00007566
2854.2500,0.00008450
2854.5000,0.00009135
2854.7500,0.00009193
2855.0000,0.00004370
2855.2500,0.00009421
2855.5000,0.00008988
2855.7500,0.00000841
2856.0000,0.00008462
2856.2500,0.00008502
2856.5000,0.00007886
2856.7500,0.00008768
2857.0000,0.00009424
2857.2500,0.00001124
2857.5000,0.00009110
2857.7500,0.00007321
2858.0000,0.00010590
2858.2500,0.00004326
2858.5000,0.00010717
2858.7500,0.00011559
2859.0000,0.00002819
2859.2500,0.00010969
2859.5000,0.00012883
2859.7500,0.00007797
2860.0000,0.00011670
2860.2500,0.00013613
2860.5000,0.00002213
2860.7500,0.00014958
2861.0000,0.00015114
2861.2500,0.00015947
2861.5000,0.00017160
2861.7500,0.00017646
2862.0000,0.00014599
2862.2500,0.00020105
2862.5000,0.00001119
2862.7500,0.00021633
2863.0000,0.00005102
2863.2500,0.00024947
2863.5000,0.00026471
2863.7500,0.00022075
2864.0000,0.00032014
2864.2500,0.00035489
2864.5000,0.00013854
2864.7500,0.00046605
2865.0000,0.00053154
2865.2500,0.00055312
2865.5000,0.00059681
2865.7500,0.00063043
2866.0000,0.00064380
2866.2500,0.00073405
2866.5000,0.00070661
2866.7500,0.00080980
2867.0000,0.00010519
2867.2500,0.00087369
2867.5000,0.00085164
2867.7500,0.00081447
2868.0000,0.00081549
2868.2500,0.00076815
2868.5000,0.00041730
2868.7500,0.00060555
2869.0000,0.00046236
2869.2500,0.00039968
2869.5000,0.00028835
2869.7500,0.00028468
2870.0000,0.00007009
2870.2500,0.00050819
2870.5000,0.00008681
2870.7500,0.00073036
2871.0000,0.00080528
2871.2500,0.00052617
2871.5000,0.00086633
2871.7500,0.00090239
2872.0000,0.00068111
2872.2500,0.00007334
2872.5000,0.00082781
2872.7500,0.00077329
2873.0000,0.00062296
2873.2500,0.00069214
2873.5000,0.00063429
2873.7500,0.00038150
2874.0000,0.00058332
2874.2500,0.00054117
2874.5000,0.00019040
2874.7500,0.00040963
2875.0000,0.00001300
2875.2500,0.00033158
2875.5000,0.00021761
2875.7500,0.00028206
2876.0000,0.00025716
2876.2500,0.00017516
2876.5000,0.00018538
2876.7500,0.00020443
2877.0000,0.00002520
2877.2500,0.00019004
2877.5000,0.00008369
2877.7500,0.00016460
2878.0000,0.00005279
2878.2500,0.00015202
2878.5000,0.00015885
2878.7500,0.00015012
2879.0000,0.00012414
2879.2500,0.00010811
2879.5000,0.00013240
2879.7500,0.00010700
2880.0000,0.00010835
2880.2500,0.00009805
2880.5000,0.00006950
2880.7500,0.00010580
2881.0000,0.00009658
2881.2500,0.00005896
2881.5000,0.00009257
2881.7500,0.00008021
2882.0000,0.00006260
2882.2500,0.00008361
2882.5000,0.00001387
2882.7500,0.00007859
2883.0000,0.00003805
2883.2500,0.00006152
2883.5000,0.00006477
2883.7500,0.00003190
2884.0000,0.00007328
2884.2500,0.00003085
2884.5000,0.00007248
2884.7500,0.00006956
2885.0000,0.00006039
2885.2500,0.00006192
2885.5000,0.00006341
2885.7500,0.00000374
2886.0000,0.00005909
2886.2500,0.00006272
2886.5000,0.00006083
2886.7500,0.00005990
2887.0000,0.00005707
2887.2500,0.00001820
2887.5000,0.00005097
2887.7500,0.00001348
2888.0000,0.00004808
2888.2500,0.00007016
2888.5000,0.00004923
2888.7500,0.00005616
2889.0000,0.00005864
2889.2500,0.00005638
2889.5000,0.00004787
2889.7500,0.00006395
2890.0000,0.00006080
2890.2500,0.00002799
2890.5000,0.00005841
2890.7500,0.00005064
2891.0000,0.00003346
2891.2500,0.00006051
2891.5000,0.00006248
2891.7500,0.00002935
2892.0000,0.00005836
2892.2500,0.00005702
2892.5000,0.00003216
2892.7500,0.00005185
2893.0000,0.00005380
2893.2500,0.00001091
2893.5000,0.00004708
2893.7500,0.00004702
2894.0000,0.00005178
2894.2500,0.00005568
2894.5000,0.00005462
2894.7500,0.00004982
2895.0000,0.00005560
2895.2500,0.00002529
2895.5000,0.00004726
2895.7500,0.00005741
2896.0000,0.00001984
2896.2500,0.00004505
2896.5000,0.00005062
2896.7500,0.00004157
2897.0000,0.00005175
2897.2500,0.00004111
2897.5000,0.00004035
2897.7500,0.00005632
2898.0000,0.00005869
2898.2500,0.00005815
2898.5000,0.00005210
2898.7500,0.00004917
2899.0000,0.00001366
2899.2500,0.00004874
2899.5000,0.00004967
2899.7500,0.00005366
2900.0000,0.00005153
