# DC ODMR, one dec-1024 buffer per point, 2026-07-16T12:37:54, power_dBm=16.0, fs_Hz=122070.3
freq_MHz,V_2ms,V_8ms,V_20ms,V_100ms
2850.0000,0.1568910,0.1569061,0.1569557,0.1570142
2850.1000,0.1568570,0.1568498,0.1568620,0.1568667
2850.2000,0.1568750,0.1568629,0.1568265,0.1568196
2850.3000,0.1568780,0.1568564,0.1568479,0.1568320
2850.4000,0.1567770,0.1568064,0.1568169,0.1569183
2850.5000,0.1567895,0.1567866,0.1567999,0.1568840
2850.6000,0.1569871,0.1569659,0.1569414,0.1568395
2850.7000,0.1567800,0.1568132,0.1568062,0.1567903
2850.8000,0.1567625,0.1567386,0.1567475,0.1567469
2850.9000,0.1567510,0.1567445,0.1567554,0.1568235
2851.0000,0.1567265,0.1567241,0.1567322,0.1567351
2851.1000,0.1566795,0.1566798,0.1566673,0.1567047
2851.2000,0.1566540,0.1566924,0.1566956,0.1566917
2851.3000,0.1567115,0.1567547,0.1567552,0.1567642
2851.4000,0.1567080,0.1566747,0.1566734,0.1566956
2851.5000,0.1567045,0.1566841,0.1566697,0.1566888
2851.6000,0.1566975,0.1566903,0.1566748,0.1567300
2851.7000,0.1566705,0.1566651,0.1566514,0.1566963
2851.8000,0.1567800,0.1567711,0.1567614,0.1566588
2851.9000,0.1567120,0.1566857,0.1566926,0.1567047
2852.0000,0.1566605,0.1566324,0.1566308,0.1566345
2852.1000,0.1566200,0.1566195,0.1566282,0.1565748
2852.2000,0.1565760,0.1566049,0.1565727,0.1565971
2852.3000,0.1565495,0.1565335,0.1565581,0.1566045
2852.4000,0.1566545,0.1566275,0.1566131,0.1565592
2852.5000,0.1566010,0.1565823,0.1565827,0.1565832
2852.6000,0.1566820,0.1566797,0.1566814,0.1565609
2852.7000,0.1564800,0.1565061,0.1565156,0.1565752
2852.8000,0.1564710,0.1565176,0.1565169,0.1565095
2852.9000,0.1565830,0.1566241,0.1566196,0.1565236
2853.0000,0.1564685,0.1564904,0.1564997,0.1565341
2853.1000,0.1566230,0.1565780,0.1565996,0.1564825
2853.2000,0.1564540,0.1564374,0.1564487,0.1564361
2853.3000,0.1564695,0.1564499,0.1564487,0.1565341
2853.4000,0.1565850,0.1565539,0.1565424,0.1564523
2853.5000,0.1563605,0.1563629,0.1563680,0.1563626
2853.6000,0.1563050,0.1563197,0.1563288,0.1563916
2853.7000,0.1565045,0.1564582,0.1564624,0.1563816
2853.8000,0.1563425,0.1563260,0.1563320,0.1564002
2853.9000,0.1563600,0.1563585,0.1563354,0.1563734
2854.0000,0.1563590,0.1563475,0.1564125,0.1563815
2854.1000,0.1563620,0.1563410,0.1563485,0.1563554
2854.2000,0.1563440,0.1563223,0.1563303,0.1562799
2854.3000,0.1562525,0.1562702,0.1562905,0.1562949
