# NV ODMR spectrum, 2026-06-18T16:12:31
# start=2800.0 stop=3000.0 step=1.0 MHz
# averages_per_point=8 samples_per_capture=16384
freq_MHz,pl_volts
2800.0000,0.057571
2801.0000,0.057285
2802.0000,0.056992
2803.0000,0.056720
2804.0000,0.056734
2805.0000,0.056819
2806.0000,0.056630
2807.0000,0.056737
2808.0000,0.056816
2809.0000,0.056358
2810.0000,0.056228
2811.0000,0.056258
2812.0000,0.056215
2813.0000,0.056289
2814.0000,0.056606
2815.0000,0.056686
2816.0000,0.056920
2817.0000,0.057283
2818.0000,0.057369
2819.0000,0.057257
2820.0000,0.057248
2821.0000,0.057409
2822.0000,0.057235
2823.0000,0.057069
2824.0000,0.057122
2825.0000,0.057164
2826.0000,0.057168
2827.0000,0.057055
2828.0000,0.057046
2829.0000,0.056969
2830.0000,0.056953
2831.0000,0.056932
2832.0000,0.056929
2833.0000,0.056980
2834.0000,0.056927
2835.0000,0.057101
2836.0000,0.057114
2837.0000,0.057042
2838.0000,0.057102
2839.0000,0.056922
2840.0000,0.056889
2841.0000,0.056996
2842.0000,0.056949
2843.0000,0.057044
2844.0000,0.057119
2845.0000,0.057053
2846.0000,0.057058
2847.0000,0.056999
2848.0000,0.056992
2849.0000,0.056939
2850.0000,0.056869
2851.0000,0.056976
2852.0000,0.056990
2853.0000,0.056994
2854.0000,0.057155
2855.0000,0.057070
2856.0000,0.057161
2857.0000,0.057109
2858.0000,0.057104
2859.0000,0.057058
2860.0000,0.056998
2861.0000,0.057110
2862.0000,0.057159
2863.0000,0.057205
2864.0000,0.057351
2865.0000,0.057381
2866.0000,0.057482
2867.0000,0.057426
2868.0000,0.057454
2869.0000,0.057417
2870.0000,0.057299
2871.0000,0.057366
2872.0000,0.057252
2873.0000,0.057344
2874.0000,0.057359
2875.0000,0.057449
2876.0000,0.057567
2877.0000,0.057390
2878.0000,0.057402
2879.0000,0.057379
2880.0000,0.057315
2881.0000,0.057320
2882.0000,0.057324
2883.0000,0.057332
2884.0000,0.057311
2885.0000,0.057452
2886.0000,0.057475
2887.0000,0.057470
2888.0000,0.057575
2889.0000,0.057510
2890.0000,0.057525
2891.0000,0.057523
2892.0000,0.057424
2893.0000,0.057509
2894.0000,0.057464
2895.0000,0.057533
2896.0000,0.057542
2897.0000,0.057576
2898.0000,0.057600
2899.0000,0.057580
2900.0000,0.057617
2901.0000,0.057510
2902.0000,0.057460
2903.0000,0.057516
2904.0000,0.057533
2905.0000,0.057583
2906.0000,0.057615
2907.0000,0.057639
2908.0000,0.057766
2909.0000,0.057690
2910.0000,0.057810
2911.0000,0.057712
2912.0000,0.057654
2913.0000,0.057582
2914.0000,0.057590
2915.0000,0.057575
2916.0000,0.057566
2917.0000,0.057606
2918.0000,0.057707
2919.0000,0.057692
2920.0000,0.057772
2921.0000,0.057658
2922.0000,0.057673
2923.0000,0.057727
2924.0000,0.057611
2925.0000,0.057758
2926.0000,0.057782
2927.0000,0.057850
2928.0000,0.057497
2929.0000,0.057455
2930.0000,0.057508
2931.0000,0.057535
2932.0000,0.057458
2933.0000,0.057402
2934.0000,0.057352
2935.0000,0.057295
2936.0000,0.057149
2937.0000,0.057101
2938.0000,0.057079
2939.0000,0.057109
2940.0000,0.057096
2941.0000,0.057182
2942.0000,0.057155
2943.0000,0.057290
2944.0000,0.057289
2945.0000,0.057354
2946.0000,0.057329
2947.0000,0.057469
2948.0000,0.057453
2949.0000,0.057517
2950.0000,0.057488
2951.0000,0.057575
2952.0000,0.057618
2953.0000,0.057598
2954.0000,0.057576
2955.0000,0.057579
2956.0000,0.057510
2957.0000,0.057451
2958.0000,0.057496
2959.0000,0.057535
2960.0000,0.057583
2961.0000,0.057512
2962.0000,0.057714
2963.0000,0.057664
2964.0000,0.057713
2965.0000,0.057583
2966.0000,0.057689
2967.0000,0.057623
2968.0000,0.057674
2969.0000,0.057577
2970.0000,0.057662
2971.0000,0.057586
2972.0000,0.057677
2973.0000,0.057569
2974.0000,0.057783
2975.0000,0.057939
2976.0000,0.057821
2977.0000,0.057799
2978.0000,0.057975
2979.0000,0.057990
2980.0000,0.057971
2981.0000,0.058150
2982.0000,0.058138
2983.0000,0.058138
2984.0000,0.058083
2985.0000,0.058010
2986.0000,0.057974
2987.0000,0.057936
2988.0000,0.057963
2989.0000,0.057915
2990.0000,0.057918
2991.0000,0.057895
2992.0000,0.057924
2993.0000,0.057760
2994.0000,0.057827
2995.0000,0.057819
2996.0000,0.057852
2997.0000,0.057745
2998.0000,0.057732
2999.0000,0.057651
3000.0000,0.057627
