# NV ODMR spectrum, 2026-06-18T16:46:14
# start=2700.0 stop=3000.0 step=1.0 MHz
# averages_per_point=4 samples_per_capture=16384
freq_MHz,pl_volts
2700.0000,0.060294
2701.0000,0.059736
2702.0000,0.060385
2703.0000,0.059735
2704.0000,0.060387
2705.0000,0.059823
2706.0000,0.060169
2707.0000,0.060014
2708.0000,0.059997
2709.0000,0.060187
2710.0000,0.059700
2711.0000,0.060253
2712.0000,0.059600
2713.0000,0.060232
2714.0000,0.059676
2715.0000,0.060074
2716.0000,0.059882
2717.0000,0.059830
2718.0000,0.059989
2719.0000,0.059661
2720.0000,0.060240
2721.0000,0.059832
2722.0000,0.060677
2723.0000,0.060170
2724.0000,0.060639
2725.0000,0.060423
2726.0000,0.060154
2727.0000,0.060330
2728.0000,0.060036
2729.0000,0.060550
2730.0000,0.059951
2731.0000,0.060614
2732.0000,0.059984
2733.0000,0.060520
2734.0000,0.060178
2735.0000,0.060379
2736.0000,0.060352
2737.0000,0.060007
2738.0000,0.060313
2739.0000,0.059666
2740.0000,0.060182
2741.0000,0.059439
2742.0000,0.059888
2743.0000,0.059425
2744.0000,0.059679
2745.0000,0.059654
2746.0000,0.059016
2747.0000,0.059345
2748.0000,0.058878
2749.0000,0.059613
2750.0000,0.059246
2751.0000,0.059903
2752.0000,0.059582
2753.0000,0.059724
2754.0000,0.059800
2755.0000,0.059493
2756.0000,0.059925
2757.0000,0.059357
2758.0000,0.059991
2759.0000,0.059370
2760.0000,0.059901
2761.0000,0.059538
2762.0000,0.059687
2763.0000,0.059811
2764.0000,0.059431
2765.0000,0.059907
2766.0000,0.059354
2767.0000,0.059969
2768.0000,0.059361
2769.0000,0.059753
2770.0000,0.059619
2771.0000,0.059410
2772.0000,0.059663
2773.0000,0.059153
2774.0000,0.059732
2775.0000,0.059111
2776.0000,0.059718
2777.0000,0.059295
2778.0000,0.059653
2779.0000,0.059710
2780.0000,0.059463
2781.0000,0.059905
2782.0000,0.059201
2783.0000,0.059760
2784.0000,0.059157
2785.0000,0.059608
2786.0000,0.059298
2787.0000,0.059398
2788.0000,0.059404
2789.0000,0.059249
2790.0000,0.059541
2791.0000,0.059061
2792.0000,0.059713
2793.0000,0.059159
2794.0000,0.059876
2795.0000,0.059578
2796.0000,0.059756
2797.0000,0.059832
2798.0000,0.059502
2799.0000,0.059978
2800.0000,0.059398
2801.0000,0.060059
2802.0000,0.059435
2803.0000,0.059972
2804.0000,0.059676
2805.0000,0.059718
2806.0000,0.059952
2807.0000,0.059489
2808.0000,0.060187
2809.0000,0.059622
2810.0000,0.060274
2811.0000,0.059847
2812.0000,0.060116
2813.0000,0.060077
2814.0000,0.059832
2815.0000,0.060344
2816.0000,0.059753
2817.0000,0.060424
2818.0000,0.059811
