# photodiode time series, 2026-06-23T10:29:27
# duration_s=300.0 samples_per_point=16384
t_s,pl_mean_v,pl_std_v
0.0000,0.046005,0.001419
0.4004,0.046048,0.001475
0.8007,0.046018,0.001411
1.2011,0.046039,0.001390
1.6014,0.045941,0.001390
2.0018,0.045946,0.001437
2.4021,0.046193,0.001359
2.8025,0.046526,0.001296
3.2028,0.046736,0.001238
3.6032,0.046811,0.001239
4.0035,0.046884,0.001147
4.4039,0.047296,0.001088
4.8042,0.047579,0.001176
5.2046,0.047748,0.001223
5.6049,0.048214,0.001342
6.0052,0.048579,0.001455
6.4056,0.048904,0.001465
6.8059,0.048983,0.001527
7.2063,0.048957,0.001613
7.6066,0.049002,0.001614
8.0070,0.048987,0.001555
8.4073,0.049157,0.001650
8.8077,0.049248,0.001708
9.2080,0.049310,0.001939
9.6084,0.049529,0.002233
10.0087,0.049411,0.002300
10.4091,0.049340,0.002442
10.8094,0.049742,0.002465
11.2098,0.049689,0.002430
11.6101,0.049647,0.002343
12.0105,0.049552,0.002475
12.4108,0.049476,0.002403
12.8111,0.049518,0.002333
13.2115,0.049235,0.002430
13.6118,0.049084,0.002441
14.0122,0.049420,0.002364
14.4125,0.049146,0.002513
14.8129,0.048807,0.002333
15.2132,0.048311,0.002311
15.6136,0.047916,0.002315
16.0139,0.047632,0.002251
16.4143,0.047547,0.002168
16.8146,0.047557,0.001930
17.2150,0.047357,0.001711
17.6153,0.047060,0.001322
18.0157,0.047011,0.001317
18.4160,0.047025,0.001433
18.8164,0.046826,0.001531
19.2167,0.046595,0.001509
19.6170,0.046120,0.001503
20.0174,0.046328,0.001375
20.4177,0.045963,0.001421
20.8181,0.045788,0.001275
21.2184,0.045983,0.001320
21.6188,0.046345,0.001175
22.0191,0.046609,0.001177
22.4195,0.046956,0.001178
22.8198,0.047105,0.001331
23.2202,0.047199,0.001455
23.6205,0.047380,0.001464
24.0209,0.047467,0.001577
24.4212,0.047807,0.001593
24.8216,0.048087,0.001645
25.2219,0.048811,0.001738
25.6223,0.049654,0.001920
26.0226,0.050088,0.002233
26.4230,0.049992,0.002441
26.8233,0.049930,0.002527
