# self-oscillation gain scan, 2026-07-10T14:34:53, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04, gamma_MHz_per_mT=28.024
gain,cycle,t_s,f_MHz,R_V
0.6,0,0.4063,2867.691707,1.37319601e-04
0.6,1,0.8446,2868.028861,4.35484304e-05
0.6,2,1.2444,2867.695050,1.58898332e-04
0.6,3,1.6530,2867.846327,7.55037097e-05
0.6,4,2.0766,2868.037622,6.86239940e-05
0.6,5,2.4769,2867.685594,1.62029969e-04
0.6,6,2.8607,2868.044443,3.98187181e-05
0.6,7,3.2556,2867.718521,1.57542056e-04
0.6,8,3.6530,2867.807668,8.61848592e-05
0.6,9,4.1078,2867.882835,8.85883140e-05
0.6,10,4.5073,2867.768125,1.21231045e-04
0.6,11,4.9361,2867.765034,1.02042143e-04
0.6,12,5.3254,2867.793601,9.65995903e-05
0.6,13,5.7692,2867.848765,9.20271381e-05
0.6,14,6.1691,2867.769192,1.15190554e-04
0.6,15,6.5727,2867.785905,9.86375263e-05
0.6,16,7.0047,2867.816051,9.63279689e-05
0.6,17,7.3932,2867.758578,1.11391378e-04
0.6,18,7.7631,2867.789473,9.61992811e-05
0.6,19,8.1439,2867.814168,9.72651455e-05
0.6,20,8.5557,2867.778262,1.07683604e-04
0.6,21,8.9927,2867.941753,7.34040099e-05
0.6,22,9.3472,2867.746854,1.35016984e-04
0.6,23,9.7597,2867.806319,9.12876404e-05
0.6,24,10.2073,2868.273758,2.11504606e-05
0.6,25,10.5938,2867.709772,1.98468862e-04
0.6,26,10.9817,2867.810665,8.41656487e-05
0.6,27,11.3870,2867.753099,1.11407123e-04
0.6,28,11.7770,2867.796863,9.39869550e-05
0.6,29,12.2272,2867.833567,9.52007436e-05
0.6,30,12.5882,2867.768246,1.12740340e-04
0.6,31,12.9746,2867.793628,9.71472424e-05
0.6,32,13.4203,2867.844977,9.26829708e-05
0.6,33,13.8101,2867.780880,1.12530033e-04
0.6,34,14.2208,2867.796762,9.87801879e-05
0.6,35,14.6432,2867.825731,9.65305293e-05
0.6,36,14.9936,2867.763777,1.12161659e-04
0.6,37,15.3885,2867.777748,9.91087973e-05
0.6,38,15.8106,2867.819962,9.42534948e-05
0.6,39,16.2059,2867.729759,1.17017956e-04
0.6,40,16.5935,2867.791173,9.09527091e-05
0.6,41,17.0402,2867.839343,9.32293625e-05
0.6,42,17.4274,2867.764962,1.14298129e-04
0.6,43,17.8219,2867.806862,9.43074246e-05
0.6,44,18.2709,2868.126878,4.64946653e-05
0.6,45,18.6694,2867.687343,1.77073939e-04
0.6,46,19.0588,2867.822120,7.83403632e-05
0.6,47,19.4824,2867.971211,7.58795349e-05
0.6,48,19.8729,2867.687276,1.50323725e-04
0.6,49,20.3091,2867.707418,9.80479383e-05
0.6,50,20.7249,2867.824947,8.13054975e-05
0.6,51,21.1225,2867.785273,1.08331276e-04
0.6,52,21.5891,2867.795906,9.96828270e-05
0.6,53,21.9891,2867.811330,9.88590164e-05
0.6,54,22.3855,2867.779096,1.07052274e-04
0.6,55,22.8302,2868.110552,4.45279612e-05
0.6,56,23.2382,2867.740204,1.65179565e-04
