# FM spectrum for self-oscillation run, 2026-07-10T14:34:53
freq_MHz,lockin_R
2850.00000,0.00000346
2850.10000,0.00000360
2850.20000,0.00000509
2850.30000,0.00000436
2850.40000,0.00000346
2850.50000,0.00001463
2850.60000,0.00000360
2850.70000,0.00000555
2850.80000,0.00000328
2850.90000,0.00000278
2851.00000,0.00000280
2851.10000,0.00000508
2851.20000,0.00000144
2851.30000,0.00000439
2851.40000,0.00000431
2851.50000,0.00000541
2851.60000,0.00000392
2851.70000,0.00000346
2851.80000,0.00000283
2851.90000,0.00000436
2852.00000,0.00000338
2852.10000,0.00000444
2852.20000,0.00000592
2852.30000,0.00000591
2852.40000,0.00000561
2852.50000,0.00000537
2852.60000,0.00000398
2852.70000,0.00000414
2852.80000,0.00000983
2852.90000,0.00000509
2853.00000,0.00000732
2853.10000,0.00000578
2853.20000,0.00000780
2853.30000,0.00000422
2853.40000,0.00000846
2853.50000,0.00000927
2853.60000,0.00000933
2853.70000,0.00000434
2853.80000,0.00000903
2853.90000,0.00000498
2854.00000,0.00000537
2854.10000,0.00000471
2854.20000,0.00000595
2854.30000,0.00000628
2854.40000,0.00000689
2854.50000,0.00000627
2854.60000,0.00000605
2854.70000,0.00000512
2854.80000,0.00000634
2854.90000,0.00000672
2855.00000,0.00000564
2855.10000,0.00000586
2855.20000,0.00000585
2855.30000,0.00000431
2855.40000,0.00000766
2855.50000,0.00000865
2855.60000,0.00001168
2855.70000,0.00000442
2855.80000,0.00000793
2855.90000,0.00000802
2856.00000,0.00000530
2856.10000,0.00001001
2856.20000,0.00001145
2856.30000,0.00001118
2856.40000,0.00001272
2856.50000,0.00000929
2856.60000,0.00001034
2856.70000,0.00000599
2856.80000,0.00001252
2856.90000,0.00001420
2857.00000,0.00001051
2857.10000,0.00001363
2857.20000,0.00001222
2857.30000,0.00001693
2857.40000,0.00001538
2857.50000,0.00001384
2857.60000,0.00001652
2857.70000,0.00001619
2857.80000,0.00001524
2857.90000,0.00001464
2858.00000,0.00001566
2858.10000,0.00001207
2858.20000,0.00002221
2858.30000,0.00001904
2858.40000,0.00000679
2858.50000,0.00002143
2858.60000,0.00002103
2858.70000,0.00002118
2858.80000,0.00002187
2858.90000,0.00002037
2859.00000,0.00002619
2859.10000,0.00002603
2859.20000,0.00002204
2859.30000,0.00002572
2859.40000,0.00002864
2859.50000,0.00002892
2859.60000,0.00002505
2859.70000,0.00002639
2859.80000,0.00003462
2859.90000,0.00002650
2860.00000,0.00001964
2860.10000,0.00003333
2860.20000,0.00003036
2860.30000,0.00002789
2860.40000,0.00003468
2860.50000,0.00003252
2860.60000,0.00003205
2860.70000,0.00003918
2860.80000,0.00004065
2860.90000,0.00003572
2861.00000,0.00003169
2861.10000,0.00003622
2861.20000,0.00003836
2861.30000,0.00004638
2861.40000,0.00004996
2861.50000,0.00004219
2861.60000,0.00005402
2861.70000,0.00005296
2861.80000,0.00005910
2861.90000,0.00006494
2862.00000,0.00005854
2862.10000,0.00006067
2862.20000,0.00005126
2862.30000,0.00007635
2862.40000,0.00006683
2862.50000,0.00006551
2862.60000,0.00008958
2862.70000,0.00008756
2862.80000,0.00007593
2862.90000,0.00010779
2863.00000,0.00008077
2863.10000,0.00010987
2863.20000,0.00013637
2863.30000,0.00011910
2863.40000,0.00013728
2863.50000,0.00015700
2863.60000,0.00008180
2863.70000,0.00016592
2863.80000,0.00016921
2863.90000,0.00012460
2864.00000,0.00017076
2864.10000,0.00017352
2864.20000,0.00015564
2864.30000,0.00008483
2864.40000,0.00020895
