# self-oscillation statistics, 2026-07-10T14:34:53, gain=2.3, f_star_MHz=2867.90000, R0_V=1.01510696e-04, D_V_per_MHz=1.03149662e-04
cycle,t_s,f_MHz,R_V
0,0.4305,2868.433662,7.75771821e-05
1,0.7725,2865.228724,2.45244733e-04
2,1.1687,2861.542838,2.66814139e-04
3,1.6156,2860.656032,1.41281872e-04
4,2.0041,2861.942542,4.38136999e-05
5,2.3978,2862.690450,6.79687813e-05
6,2.8294,2863.563481,6.23572760e-05
7,3.2189,2861.874308,1.77266204e-04
8,3.6149,2862.525684,7.22979713e-05
9,4.0369,2862.985278,8.08989680e-05
10,4.4504,2862.340044,1.30447947e-04
11,4.8347,2862.706690,8.50674689e-05
12,5.2635,2863.803029,5.23424467e-05
13,5.6672,2861.776788,1.92382904e-04
14,6.0629,2862.575888,6.56729076e-05
15,6.4957,2863.454125,6.21237973e-05
16,6.8851,2861.869283,1.72587207e-04
17,7.2818,2862.632355,6.72886925e-05
18,7.7025,2863.878647,4.56173721e-05
19,8.1175,2861.684772,1.99900884e-04
20,8.5503,2861.892376,9.22001641e-05
21,8.9338,2862.631852,6.83469000e-05
22,9.3281,2862.608349,1.02564735e-04
23,9.7619,2862.621431,1.00924012e-04
24,10.1688,2862.558720,1.04323145e-04
25,10.5851,2862.668295,9.65964864e-05
26,11.0026,2864.170329,3.41479915e-05
27,11.3947,2861.479985,2.22166384e-04
28,11.8345,2862.111816,7.31745471e-05
29,12.2307,2862.775778,7.17335191e-05
30,12.6294,2862.459864,1.15678685e-04
31,13.0784,2864.535656,8.41624402e-06
32,13.4805,2861.505267,2.37416627e-04
33,13.9325,2860.744940,1.35609613e-04
34,14.3294,2861.931289,4.83057029e-05
35,14.6758,2862.748199,6.48741425e-05
36,15.1006,2863.411218,7.17758322e-05
37,15.4979,2861.934517,1.67737346e-04
38,15.9342,2862.877310,5.92285824e-05
39,16.3484,2862.378943,1.23861328e-04
40,16.7839,2864.250564,1.75728173e-05
41,17.1804,2861.521503,2.23902741e-04
42,17.5795,2862.494914,5.78554978e-05
43,18.0024,2863.258235,6.72774888e-05
44,18.3857,2862.125754,1.52299856e-04
45,18.8318,2863.503616,3.97167720e-05
46,19.2193,2861.823535,1.76858437e-04
47,19.6345,2862.610939,6.61974522e-05
48,20.0620,2862.910518,8.80752943e-05
49,20.4626,2862.359748,1.26211454e-04
50,20.8631,2862.632618,8.92730800e-05
51,21.2950,2864.205196,3.09842580e-05
52,21.6845,2861.516647,2.22085838e-04
53,22.0674,2862.414859,6.12279970e-05
